id,publicar,nome,sigla,tipo_unidade,instituicao,sigla_instituicao,natureza_instituicao,unidade_vinculacao,area_principal,areas_secundarias,responsavel_nome,responsavel_cargo,email_contato,telefone_contato,url,endereco,cidade,uf,latitude,longitude,precisao_geo,relevancia,grau_verificacao,data_verificacao
ufpel-datalab-ml,sim,"Datalab/ML, Laboratório de Aprendizado de Máquina, Inteligência Artificial e Ciência de Dados",Datalab/ML,laboratório,Universidade Federal de Pelotas,UFPel,universidade federal,"Centro de Desenvolvimento Tecnológico, Grupo de Pesquisa em Ciência de Dados",ciencia_de_dados,divulgacao_cientifica,,,,,https://wp.ufpel.edu.br/datalab/,"Centro de Desenvolvimento Tecnológico, Rua Gomes Carneiro, 1, Centro, Pelotas - RS, CEP 96010-610",Pelotas,RS,-31.7712,-52.3424,campus,"O laboratório faz formação e orientação em ciência de dados dentro e fora da universidade, experiência aplicável a ações de capacitação em análise de dados institucionais.",parcial,2026-09-17
ufrgs-inf,sim,Instituto de Informática,INF,instituto,Universidade Federal do Rio Grande do Sul,UFRGS,universidade federal,"Unidade acadêmica da UFRGS, campus do Vale",ciencia_de_dados,divulgacao_cientifica,Carla Maria Dal Sasso Freitas,Diretora,informat@inf.ufrgs.br,+55 51 3308-7019,https://www.inf.ufrgs.br/site/,"Avenida Bento Gonçalves, 9500, Caixa Postal 15064, Campus do Vale, Porto Alegre - RS, CEP 91501-970",Porto Alegre,RS,-30.0722,-51.12,campus,"O instituto concentra grupos de pesquisa em visualização de dados, bancos de dados e aprendizado de máquina, competência aplicável à construção de painéis e à análise de grandes bases institucionais.",parcial,2026-09-17
ufsc-liaa,sim,Laboratório de Inteligência Artificial e Algoritmos,LIAA,laboratório,Universidade Federal de Santa Catarina,UFSC,universidade federal,"Departamento de Informática e Estatística (INE), Centro Tecnológico",ciencia_de_dados,divulgacao_cientifica,,,liaa.ine@contato.ufsc.br,+55 48 3721-4710,https://giaa.ufsc.br/,"Centro Tecnológico, Departamento de Informática e Estatística, Campus Universitário Trindade, Salas 501 e 502, Florianópolis - SC, CEP 88040-900",Florianópolis,SC,-27.6008,-48.518,endereco,"O laboratório trabalha otimização combinatória e aprendizado aplicado a problemas de alocação, métodos úteis em modelos de distribuição de recursos e bolsas.",parcial,2026-09-17
unb-unb-ciencia,sim,UnB Ciência,,coordenadoria,Universidade de Brasília,UnB,universidade federal,Secretaria de Comunicação (Secom),divulgacao_cientifica,,,,,,https://unbciencia.unb.br/,"Campus Universitário Darcy Ribeiro, Brasília - DF, CEP 70910-900",Brasília,DF,-15.7639,-47.87,campus,"Portal institucional de jornalismo científico da UnB, com cobertura organizada por áreas do conhecimento.",parcial,2026-09-17
ufg-mc-ufg,sim,Museu de Ciências da UFG,MC-UFG,museu,Universidade Federal de Goiás,UFG,universidade federal,Universidade Federal de Goiás,divulgacao_cientifica,,,,museudeciencias@ufg.br,,https://mc.ufg.br/,"Avenida Esperança, s/n, Campus Samambaia, Prédio da Reitoria, Goiânia - GO, CEP 74690-900",Goiânia,GO,-16.6058,-49.265,campus,"Museu universitário que reúne sete núcleos temáticos, incluindo planetário, e coordena laboratórios de pesquisa, extensão e divulgação científica no Centro-Oeste.",parcial,2026-09-17
ufg-planetario-ufg,sim,Planetário Juan Bernardino Marques Barrio,Planetário UFG,observatório,Universidade Federal de Goiás,UFG,universidade federal,Museu de Ciências da UFG,divulgacao_cientifica,,Rafael Miloni Santucci,Diretor,museudeciencias@ufg.br,(62) 3521-2770,https://planetario.ufg.br/,"Av. Contorno, 900, Parque Mutirama, Setor Central, Goiânia - GO, CEP 74055-140",Goiânia,GO,-16.6733,-49.256,endereco,"Planetário universitário com equipe que inclui profissional com mestrado em comunicação científica, situado no Centro-Oeste. Parceiro para ações conjuntas de popularização da ciência.",verificado,2026-09-17
ufmt-ufmt-ciencia,sim,UFMT Ciência,,coordenadoria,Universidade Federal de Mato Grosso,UFMT,universidade federal,Secretaria de Comunicação e Multimeios (Secomm),divulgacao_cientifica,,,,,(65) 3615-8000,https://ufmt.br/ufmtciencia/,"Av. Fernando Corrêa da Costa, 2367, Boa Esperança, Cuiabá - MT, CEP 78060-900",Cuiabá,MT,-15.61,-56.07,campus,"Portal de jornalismo científico dedicado à produção acadêmica da pós-graduação, articulado em rede com IFMT e Unemat.",parcial,2026-09-17
ufal-mhn-ufal,sim,Museu de História Natural da UFAL,MHN/UFAL,museu,Universidade Federal de Alagoas,UFAL,universidade federal,Pró-Reitoria de Extensão e Cultura (PROEXC),divulgacao_cientifica,,,,,,https://mhn.ufal.br/,"Bairro Prado, Maceió - AL",Maceió,AL,-9.55363,-35.7739,campus,"Museu universitário de ciências naturais com programas de extensão e atendimento majoritário de grupos escolares, útil para ações conjuntas de popularização da ciência no Nordeste.",parcial,2026-09-17
ufal-usina-ciencia,sim,Usina Ciência,,centro,Universidade Federal de Alagoas,UFAL,universidade federal,Pró-Reitoria de Extensão (PROEX),divulgacao_cientifica,,Patrícia Gomes de Siqueira,Coordenadora,patricia.gomes@proex.ufal.br,(82) 3214-1641,https://usinaciencia.ufal.br/,"Av. Aristeu de Andrade, 452, Farol, Maceió - AL, CEP 57051-090",Maceió,AL,-9.6498,-35.722,endereco,"Centro de divulgação científica da UFAL com agendamento regular de visitas escolares, parceiro para ações conjuntas de popularização da ciência em Alagoas.",verificado,2026-09-17
ufc-seara-da-ciencia,sim,Seara da Ciência,,centro,Universidade Federal do Ceará,UFC,universidade federal,Pró-Reitoria de Cultura,divulgacao_cientifica,,Ilde Guedes,Diretor,seara@ufc.br,(85) 3366-9293,https://seara.ufc.br/,"Rua Abdênago Rocha Lima, s/n, Campus do Pici, Fortaleza - CE, CEP 60455-320",Fortaleza,CE,-3.7447,-38.5745,campus,"Órgão de divulgação científica e tecnológica de referência no Nordeste, com teatro científico, observatório e laboratórios voltados a escolas. Parceiro para ações conjuntas de popularização da ciência.",parcial,2026-09-17
ufma-laboratorio-de-divulgacao-cientifica-ilha-da-ciencia,sim,Laboratório de Divulgação Científica Ilha da Ciência,,laboratório,Universidade Federal do Maranhão,UFMA,universidade federal,"Departamento de Física, Centro de Ciências Exatas e Tecnologia (DEFIS/CCET)",divulgacao_cientifica,,,,,(98) 3272-8272,http://www.ilhadaciencia.ufma.br/,"Avenida dos Portugueses, 1966, DEFIS/CCET, Campus Universitário do Bacanga, São Luís - MA",São Luís,MA,-2.559,-44.307,campus,"Laboratório de divulgação científica com planetário móvel e unidade móvel, capaz de levar ações de popularização da ciência a municípios do interior do Maranhão.",parcial,2026-09-17
ufpb-casa-da-ciencia-ufpb,sim,Casa da Ciência UFPB,,centro,Universidade Federal da Paraíba,UFPB,universidade federal,"Departamento de Sistemática e Ecologia, Centro de Ciências Exatas e da Natureza (CCEN), Campus I",divulgacao_cientifica,,,,,,https://visite.museus.gov.br/instituicoes/casa-da-ciencia-ufpb/,"Curva da Sucupira, Departamento de Sistemática e Ecologia, CCEN, Campus I, Cidade Universitária, João Pessoa - PB, CEP 58050-585",João Pessoa,PB,-7.1386,-34.845,campus,"Espaço universitário de alfabetização científica que articula educação formal e não formal, com diálogo direto com escolas da educação básica.",parcial,2026-09-17
governo-do-estado-de-pernambuco-espaco-ciencia-museu-de-ciencia-e-tecnologia-de-,sim,"Espaço Ciência, Museu de Ciência e Tecnologia de Pernambuco",,museu,Governo do Estado de Pernambuco,,instituição pública de pesquisa não universitária,"Secretaria de Ciência, Tecnologia e Inovação de Pernambuco",divulgacao_cientifica,,Antônio Carlos Pavão,Diretor,,(81) 3183-5531,https://www.espacociencia.pe.gov.br/,"Parque Memorial Arcoverde, Complexo de Salgadinho, Salgadinho, CEP 53020-560",Olinda,PE,-8.0295,-34.8723,endereco,O Espaço Ciência é o principal museu de ciência de um governo estadual no Nordeste e opera programas de popularização da ciência em larga escala. Referência em divulgação científica fora da esfera federal.,parcial,2026-09-17
ufrn-mcc,sim,Museu Câmara Cascudo,MCC,museu,Universidade Federal do Rio Grande do Norte,UFRN,universidade federal,Órgão suplementar da UFRN,divulgacao_cientifica,,Olavo Fontes Magalhães Bessa,Diretor,comunica@mcc.ufrn.br,(84) 3342-2289,https://mcc.ufrn.br/,"Avenida Hermes da Fonseca, 1398, Tirol, Natal - RN, CEP 59020-650",Natal,RN,-5.7945,-35.2064,endereco,Museu universitário de ciências naturais e antropológicas com assessoria de comunicação própria e educação museal estruturada. Parceiro para ações conjuntas de divulgação científica no Nordeste.,verificado,2026-09-17
ufs-max,sim,Museu de Arqueologia de Xingó,MAX,museu,Universidade Federal de Sergipe,UFS,universidade federal,Universidade Federal de Sergipe,divulgacao_cientifica,,,,,,https://max.ufs.br/,Canindé de São Francisco - SE,Canindé de São Francisco,SE,-9.6356,-37.77327,endereco,"Museu universitário que articula pesquisa arqueológica, formação de bolsistas de pós-graduação e divulgação, com exposições itinerantes que alcançam municípios do Baixo São Francisco.",parcial,2026-09-17
inpa-bosque-da-ciencia,sim,Bosque da Ciência,,museu,Instituto Nacional de Pesquisas da Amazônia,INPA,instituição pública de pesquisa não universitária,,divulgacao_cientifica,,,,bosque@inpa.gov.br,(92) 3643-3192,https://bosque.inpa.gov.br/,"Rua Bem-te-vi, s/n, Petrópolis, CEP 69060-001",Manaus,AM,-3.0975,-59.9871,endereco,O Bosque da Ciência é o principal equipamento de divulgação científica do INPA e recebe público escolar e geral em Manaus. Referência em popularização da ciência na região Norte.,parcial,2026-09-17
ufam-museu-amazonico,sim,Museu Amazônico,,museu,Universidade Federal do Amazonas,UFAM,universidade federal,Órgão suplementar da UFAM,divulgacao_cientifica,,Rodrigo Oliveira Braga Reis,Diretor,museuamazonico@ufam.edu.br,(92) 3305-1181,https://www.museuamazonico.ufam.edu.br/,"Rua Ramos Ferreira, 1036, Centro, Manaus - AM, CEP 69010-120",Manaus,AM,-3.133,-60.02,endereco,Museu universitário que oferece curso de divulgação científica e atua na popularização do conhecimento sobre o patrimônio amazônico. Parceiro para formação e ações conjuntas na região Norte.,verificado,2026-09-17
mcti-mpeg,sim,Museu Paraense Emílio Goeldi,MPEG,museu,"Ministério da Ciência, Tecnologia e Inovação",MCTI,instituição pública de pesquisa não universitária,,divulgacao_cientifica,ciencia_de_dados,Nilson Gabas Junior,Diretor,contato@museu-goeldi.br,(91) 3249-1302,https://www.gov.br/museugoeldi/pt-br,"Avenida Governador Magalhães Barata, 376, São Brás, CEP 66040-170",Belém,PA,-1.4553,-48.4749,endereco,"O Museu Goeldi articula pesquisa, pós-graduação, difusão científica e gestão de coleções e acervos digitais sobre a Amazônia. Referência em instituição de pesquisa não universitária com programas do Sistema Nacional de Pós-Graduação e política estruturada de difusão científica.",parcial,2026-09-17
ufpa-cicta,sim,Centro Interativo de Ciência e Tecnologia da Amazônia,CICTA,centro,Universidade Federal do Pará,UFPA,universidade federal,"Universidade Federal do Pará, Campus Universitário do Guamá",divulgacao_cientifica,,Luís Carlos Bassalo Crispino,Coordenador,cicta@ufpa.br,(91) 3201-7889,https://ufpa.br/orgaos/centro-interativo-de-ciencia-e-tecnologia-da-amazonia/,"Rua Augusto Corrêa, 01, Campus Universitário do Guamá, Setor Básico, Prédio do CICTA, Guamá, Belém - PA, CEP 66075-110",Belém,PA,-1.4744,-48.4525,campus,"Principal centro universitário de popularização da ciência da Amazônia, com atendimento estruturado a escolas públicas. Parceiro estratégico para ações conjuntas na região Norte.",verificado,2026-09-17
ufpa-iemci,sim,Instituto de Educação Matemática e Científica,IEMCI,instituto,Universidade Federal do Pará,UFPA,universidade federal,"Universidade Federal do Pará, Campus Universitário do Guamá",divulgacao_cientifica,politicas_publicas,Isabel Cristina Rodrigues de Lucena,Diretora Geral,iemci@ufpa.br,(91) 3201-7487,https://www.iemci.ufpa.br/,"Rua Augusto Corrêa, 01, Campus Universitário do Guamá, Setor Básico, Guamá, Belém - PA, CEP 66075-110",Belém,PA,-1.4744,-48.4525,campus,Instituto com dois programas de pós-graduação em educação em ciências e matemáticas e com o Clube de Ciências da UFPA.,parcial,2026-09-17
uepa-ccpp,sim,Centro de Ciências e Planetário do Pará,CCPP,centro,Universidade do Estado do Pará,UEPA,universidade estadual,Universidade do Estado do Pará,divulgacao_cientifica,,,,,(91) 3232-1055,http://paginas.uepa.br/planetario/,"Rodovia Augusto Montenegro, Km 03, Belém - PA",Belém,PA,-1.38,-48.45,cidade,"Centro de ciências com planetário vinculado a universidade estadual da região Norte, com atendimento a escolas e atividades experimentais. Amplia a cobertura regional de parceiros em divulgação científica.",parcial,2026-09-17
ufes-planetario-de-vitoria,sim,Planetário de Vitória,,observatório,Universidade Federal do Espírito Santo,UFES,universidade federal,"Centro de Ciências Exatas (CCE), em parceria com a Secretaria Municipal de Educação de Vitória",divulgacao_cientifica,,,,,(27) 3227-2531,https://planetariodevitoria.ufes.br/,"Av. Fernando Ferrari, 514, Goiabeiras, Campus Ufes, CCE, Vitória - ES, CEP 29075-910",Vitória,ES,-20.2767,-40.3044,campus,"Inaugurado em 23 de junho de 1995, é vinculado ao Centro de Ciências Exatas da UFES em parceria com a Secretaria Municipal de Educação de Vitória.",parcial,2026-09-17
ufjf-centro-de-ciencias-da-ufjf,sim,Centro de Ciências da UFJF,,centro,Universidade Federal de Juiz de Fora,UFJF,universidade federal,Pró-Reitoria de Extensão (Proex),divulgacao_cientifica,,Marco Antônio Escher,Diretor,centrodeciencias@ufjf.br,(32) 2102-6913,https://www2.ufjf.br/centrodeciencias/,"Campus Universitário da UFJF, São Pedro, Juiz de Fora - MG, CEP 36036-900",Juiz de Fora,MG,-21.7767,-43.37,campus,"Equipamento de extensão descrito pela própria universidade como referência nacional em divulgação da ciência, com jornadas próprias de divulgação científica e laboratórios de educação em ciências e matemática.",verificado,2026-09-17
ufmg-ddc,sim,Diretoria de Divulgação Científica da UFMG,DDC,coordenadoria,Universidade Federal de Minas Gerais,UFMG,universidade federal,Pró-Reitoria de Extensão (Proex),divulgacao_cientifica,politicas_publicas,André Luiz Freitas Dias,Diretor,ddc-secretaria@proex.ufmg.br,(31) 3409-4427,https://www.ufmg.br/proex/diretorias/divulgacao-cientifica/,"Av. Antônio Carlos, 6627, Pampulha, Belo Horizonte - MG, CEP 31270-901",Belo Horizonte,MG,-19.8701,-43.9664,campus,"Única diretoria de divulgação científica estruturada em universidade federal identificada nesta frente, responsável por política institucional própria e por formação transversal na área. Modelo de referência e parceiro para indicadores e ações conjuntas.",verificado,2026-09-17
ufmg-espaco-do-conhecimento-ufmg,sim,Espaço do Conhecimento UFMG,,museu,Universidade Federal de Minas Gerais,UFMG,universidade federal,Pró-Reitoria de Cultura (Procult),divulgacao_cientifica,,,,secretaria@espacoconhecimento.ufmg.br,(31) 3409-8350,https://www.ufmg.br/espacodoconhecimento/,"Praça da Liberdade, 700, Funcionários, Belo Horizonte - MG, CEP 30140-010",Belo Horizonte,MG,-19.9319,-43.9378,endereco,"Museu de ciências com planetário e programação educativa para escolas, integrado à política institucional de divulgação científica da UFMG. Parceiro para ações conjuntas de popularização da ciência.",parcial,2026-09-17
abcmc-abcmc,sim,Associação Brasileira de Centros e Museus de Ciência,ABCMC,rede,Associação Brasileira de Centros e Museus de Ciência,ABCMC,sociedade científica,,divulgacao_cientifica,,Andréa Fernandes Costa,Presidenta,,,https://abcmc.org.br/,,Rio de Janeiro,RJ,-22.91101,-43.20937,cidade,A ABCMC articula os centros e museus de ciência brasileiros e mantém levantamentos sobre o setor.,parcial,2026-09-17
fiocruz-inct-cpct,sim,Instituto Nacional de Ciência e Tecnologia em Comunicação Pública da Ciência e Tecnologia,INCT-CPCT,rede,Fundação Oswaldo Cruz,Fiocruz,instituição pública de pesquisa não universitária,Casa de Oswaldo Cruz (COC),divulgacao_cientifica,politicas_publicas,Luisa Medeiros Massarani,Coordenadora,luisa.massarani@fiocruz.br,,https://inct-cpct.fiocruz.br/,"Av. Brasil, 4365, Manguinhos, CEP 21040-900",Rio de Janeiro,RJ,-22.876,-43.2445,campus,O INCT-CPCT produz pesquisa e indicadores sobre percepção pública da ciência e sobre divulgação científica no Brasil.,verificado,2026-09-17
fiocruz-museu-da-vida-fiocruz,sim,Museu da Vida Fiocruz,,museu,Fundação Oswaldo Cruz,Fiocruz,instituição pública de pesquisa não universitária,Casa de Oswaldo Cruz (COC),divulgacao_cientifica,,,,museudavida@fiocruz.br,(21) 3865-2128,https://www.museudavida.fiocruz.br/,"Av. Brasil, 4365, Manguinhos, CEP 21045-900",Rio de Janeiro,RJ,-22.876,-43.2445,campus,"O Museu da Vida faz pesquisa em divulgação científica e estudos de público, com produção de dados sobre percepção pública da ciência.",parcial,2026-09-17
fiocruz-ppgdc,sim,"Programa de Pós-Graduação em Divulgação da Ciência, Tecnologia e Saúde",PPGDC,programa,"Fundação Oswaldo Cruz, em associação com a UFRJ, o MAST e a Fundação Cecierj",Fiocruz,instituição pública de pesquisa não universitária,Casa de Oswaldo Cruz (COC),divulgacao_cientifica,,Marina Ramalho,Coordenadora,ppgdivulgacao@fiocruz.br,(21) 3865-2290,https://ppgdc.coc.fiocruz.br/,"Av. Brasil, 4365, Manguinhos, CEP 21040-900",Rio de Janeiro,RJ,-22.876,-43.2445,campus,O programa é um dos poucos cursos stricto sensu do Sistema Nacional de Pós-Graduação dedicados à divulgação científica. Referência em formação e como fonte de estudos sobre comunicação pública da ciência.,parcial,2026-09-17
ifrj-eci,sim,Espaço Ciência InterAtiva,ECI,centro,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",IFRJ,instituto federal,Campus Mesquita,divulgacao_cientifica,,Guilherme Thomaz,Coordenador,eci@ifrj.edu.br,(21) 2797-5512,https://portal.ifrj.edu.br/node/2802,"Rua Paulo I, s/n, Praça Luiz do Nascimento, Centro, CEP 26530-060",Mesquita,RJ,-22.7828,-43.4291,endereco,O ECI é centro de ciências da Rede Federal com programa estruturado de popularização da ciência e inclusão social na Baixada Fluminense. Referência em divulgação científica em instituto federal.,parcial,2026-09-17
mcti-mast,sim,Museu de Astronomia e Ciências Afins,MAST,museu,"Ministério da Ciência, Tecnologia e Inovação",MCTI,instituição pública de pesquisa não universitária,,divulgacao_cientifica,,Marcio Ferreira Rangel,Diretor,diretoria@mast.br,(21) 3514-5202,https://www.gov.br/mast/pt-br,"Rua General Bruce, 586, Bairro Imperial de São Cristóvão, CEP 20921-030",Rio de Janeiro,RJ,-22.8975,-43.2242,endereco,"O MAST faz pesquisa em educação em ciências, museologia e história da ciência, e integra o mestrado em Divulgação da Ciência, Tecnologia e Saúde. Referência em unidade de pesquisa não universitária credenciada no Sistema Nacional de Pós-Graduação em divulgação científica.",verificado,2026-09-17
on-dicop,sim,Divisão de Comunicação e Popularização da Ciência,DICOP,núcleo,Observatório Nacional,ON,instituição pública de pesquisa não universitária,,divulgacao_cientifica,,Josina Oliveira do Nascimento,Chefe de Divisão,josina@on.br,(21) 3504-9156,https://www.gov.br/observatorio/pt-br,"Rua General José Cristino, 77, São Cristóvão, CEP 20921-400",Rio de Janeiro,RJ,-22.8958,-43.2244,endereco,"A DICOP opera a divulgação científica de uma unidade de pesquisa do MCTI, com programas de visitação, podcast e ações educativas em astronomia e geofísica. Referência em estrutura formal de popularização da ciência dentro de instituto de pesquisa.",parcial,2026-09-17
sgb-mcter,sim,Museu de Ciências da Terra,MCTer,museu,Serviço Geológico do Brasil,SGB,instituição pública de pesquisa não universitária,,divulgacao_cientifica,,,,mcter@sgb.gov.br,(21) 2546-0440,https://mcter.sgb.gov.br/,"Avenida Pasteur, 404, Urca, CEP 22290-240",Rio de Janeiro,RJ,-22.9552,-43.1663,endereco,O museu faz divulgação das geociências a partir de acervo paleontológico e mineralógico de referência nacional e mantém acervo digital. Referência em caso de digitalização e disseminação de coleções científicas públicas.,parcial,2026-09-17
uff-casa-da-descoberta-centro-de-divulgacao-de-ciencia-da-uff,sim,"Casa da Descoberta, Centro de Divulgação de Ciência da UFF",,centro,Universidade Federal Fluminense,UFF,universidade federal,Instituto de Física,divulgacao_cientifica,,Daisy Maria Luz,Coordenadora,descubra@if.uff.br,(21) 2629-5809,https://casadadescoberta.uff.br/,"Avenida Litorânea, s/n, Instituto de Física, 2º andar, Campus da Praia Vermelha, Niterói - RJ",Niterói,RJ,-22.9017,-43.131,campus,"Centro de divulgação científica universitário voltado à alfabetização científica, com atendimento a escolas de educação básica e atividades de formação.",parcial,2026-09-17
ufrj-casa-da-ciencia-centro-cultural-de-ciencia-e-tecnologia-da-ufrj,sim,"Casa da Ciência, Centro Cultural de Ciência e Tecnologia da UFRJ",,centro,Universidade Federal do Rio de Janeiro,UFRJ,universidade federal,Fórum de Ciência e Cultura (FCC),divulgacao_cientifica,,Ismar de Souza Carvalho,Diretor,direcao@casadaciencia.ufrj.br,(21) 3938-5444,https://casadaciencia.ufrj.br/,"Rua Lauro Müller, 3, Botafogo, Rio de Janeiro - RJ, CEP 22290-160",Rio de Janeiro,RJ,-22.9524,-43.178,endereco,"Centro cultural de ciência e tecnologia de referência nacional, com programação de exposições e cursos. Parceiro para ações conjuntas de popularização da ciência e para o mestrado interinstitucional em divulgação da ciência.",verificado,2026-09-17
ufrj-nutes,sim,Instituto NUTES de Educação em Ciências e Saúde,NUTES,instituto,Universidade Federal do Rio de Janeiro,UFRJ,universidade federal,Centro de Ciências da Saúde (CCS),divulgacao_cientifica,politicas_publicas,Rita Vilanova Prata,Diretora,direcao2@nutes.ufrj.br,(21) 3938-6343,https://www.nutes.ufrj.br/,"Av. Carlos Chagas Filho, 373, Centro de Ciências da Saúde, Bloco A, Sala 12, Cidade Universitária, Ilha do Fundão, Rio de Janeiro - RJ, CEP 21941-902",Rio de Janeiro,RJ,-22.8613,-43.2244,endereco,Interessa como produtor de pesquisa e indicadores na área.,verificado,2026-09-17
instituto-butantan-museu-de-microbiologia-prof-isaias-raw,sim,Museu de Microbiologia Prof. Isaías Raw,,museu,Instituto Butantan,,instituição pública de pesquisa não universitária,Parque da Ciência Butantan,divulgacao_cientifica,,,,museumicrobiol@butantan.gov.br,(11) 2627-9541,https://butantan.gov.br/atracoes/museu-de-microbiologia,"Av. Vital Brasil, 1500, Butantã, CEP 05503-900",São Paulo,SP,-23.5686,-46.7215,campus,O museu faz divulgação científica em microbiologia e imunologia dentro de um instituto público de pesquisa e produção de imunobiológicos. Referência em popularização da ciência associada à pesquisa aplicada.,parcial,2026-09-17
sbpc-sbpc,sim,Sociedade Brasileira para o Progresso da Ciência,SBPC,sociedade científica,Sociedade Brasileira para o Progresso da Ciência,SBPC,sociedade científica,,divulgacao_cientifica,politicas_publicas,Francilene Procópio Garcia,Presidenta,,(11) 3355-2130,https://portal.sbpcnet.org.br/,"Rua Maria Antônia, 294, 4º andar, Vila Buarque, CEP 01222-010",São Paulo,SP,-23.5449,-46.6473,endereco,A SBPC edita o Jornal da Ciência e a revista Ciência Hoje e acompanha o orçamento e as políticas de ciência e educação superior. Referência em interlocutora em divulgação científica e em análise de políticas de CT&I.,parcial,2026-09-17
unesp-aci-unesp,sim,Assessoria de Comunicação e Imprensa da Unesp,ACI Unesp,coordenadoria,Universidade Estadual Paulista Júlio de Mesquita Filho,UNESP,universidade estadual,Reitoria da Unesp,divulgacao_cientifica,,José Carlos Marques,Assessor-chefe da Assessoria de Comunicação e Imprensa,jornal@unesp.br,(11) 5627-0326,https://jornal.unesp.br/,"Rua Quirino de Andrade, 215, 4º andar, São Paulo - SP, CEP 01049-010",São Paulo,SP,-23.547,-46.6395,endereco,Estrutura de jornalismo científico institucional que opera a Unesp Agência de Notícias e o Jornal da Unesp.,verificado,2026-09-17
unesp-cca,sim,Centro de Ciências de Araraquara,CCA,centro,Universidade Estadual Paulista Júlio de Mesquita Filho,UNESP,universidade estadual,"Instituto de Química, Câmpus de Araraquara",divulgacao_cientifica,,Rodrigo Fernando Costa Marques,Supervisor,cca.iq@unesp.br,(16) 3322-4812,https://www.iq.unesp.br/#!/cca/sobre/,"Avenida Doutor Bernardino Arantes de Almeida, s/n, Jardim Santa Lúcia, Araraquara - SP, CEP 14800-540",Araraquara,SP,-21.7845,-48.1783,cidade,"Criado em 1989, é museu universitário multidisciplinar de ciências vinculado ao Instituto de Química da Unesp.",verificado,2026-09-17
unicamp-labjor,sim,Laboratório de Estudos Avançados em Jornalismo,Labjor,laboratório,Universidade Estadual de Campinas,UNICAMP,universidade estadual,Núcleo de Desenvolvimento da Criatividade (Nudecri),divulgacao_cientifica,politicas_publicas,Marcos Barbai,Coordenador do curso de especialização em jornalismo científico,,(19) 3521-2585,https://www.labjor.unicamp.br/,"Rua Seis de Agosto, 50, Reitoria V, 3º piso, Cidade Universitária Zeferino Vaz, Campinas - SP, CEP 13083-873",Campinas,SP,-22.8184,-47.0647,campus,"Centro de referência nacional em formação e pesquisa em divulgação científica, com pós-graduação stricto sensu e lato sensu na área. Pode fornecer estudos e indicadores sobre divulgação científica na pós-graduação.",parcial,2026-09-17
unicamp-mec-unicamp,sim,Museu Exploratório de Ciências da Unicamp,MEC Unicamp,museu,Universidade Estadual de Campinas,UNICAMP,universidade estadual,"Pró-Reitoria de Extensão, Esporte e Cultura (ProEEC)",divulgacao_cientifica,,Guilherme Stecca Marcom,Coordenador,museu@unicamp.br,(19) 3521-1810,https://www.proec.unicamp.br/museu-exploratorio-de-ciencias/,"Rua da Reitoria, 121, Cidade Universitária Zeferino Vaz, Barão Geraldo, Campinas - SP, CEP 13083-872",Campinas,SP,-22.8172,-47.0689,campus,"Museu universitário de ciências com programação educativa regular, capaz de participar de ações conjuntas de popularização da ciência voltadas à educação básica e à formação de professores.",verificado,2026-09-17
unicamp-ppg-dcc,sim,Programa de Pós-Graduação em Divulgação Científica e Cultural,PPG-DCC,programa,Universidade Estadual de Campinas,UNICAMP,universidade estadual,Instituto de Estudos da Linguagem (IEL) e Laboratório de Estudos Avançados em Jornalismo (Labjor),divulgacao_cientifica,,Greciely Cristina da Costa,Coordenadora (2025/2027),,(19) 3521-2586,https://www.labjor.unicamp.br/pos-graduacao/divulgacao-cientifica-e-cultural/mestrado/,"Rua Seis de Agosto, 50, Reitoria V, 3º piso, Cidade Universitária Zeferino Vaz, Campinas - SP, CEP 13083-873",Campinas,SP,-22.8184,-47.0647,campus,Interlocutor direto para estudos e indicadores sobre divulgação científica na pós-graduação.,verificado,2026-09-17
ufscar-labi,sim,Laboratório Aberto de Interatividade para Disseminação do Conhecimento Científico e Tecnológico,LAbI,laboratório,Universidade Federal de São Carlos,UFSCar,universidade federal,Universidade Federal de São Carlos,divulgacao_cientifica,,,,,,https://www.labi.ufscar.br/,"Universidade Federal de São Carlos, Rodovia Washington Luís, km 235, SP-310, São Carlos - SP",São Carlos,SP,-21.9838,-47.8808,campus,Laboratório especializado em divulgação científica com produção de conteúdo multimídia e equipe interdisciplinar.,parcial,2026-09-17
unifesp-nudictec,sim,"Núcleo de Divulgação Científica, Tecnológica e Cultural",NUDICTEC,núcleo,Universidade Federal de São Paulo,UNIFESP,universidade federal,Pró-Reitoria de Extensão e Cultura (ProEC),divulgacao_cientifica,,,,,,https://proreitoria.unifesp.br/proec/todos-institucional/nucleo-de-divulgacao-cientifica-tecnologica-e-cultura-nudictec,"Rua Sena Madureira, 1500, Vila Clementino, São Paulo - SP",São Paulo,SP,-23.59169,-46.64899,endereco,"Núcleo institucional que organiza e pesquisa a divulgação científica na universidade, incluindo formação de agentes de divulgação. Interessa para ações conjuntas e para levantamento de indicadores.",parcial,2026-09-17
